settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,140.91,142.43,1.52,Battery_1,hold,0.0,10.0,2.0
2,141.01,135.81,-5.2,Battery_1,hold,0.0,10.0,2.0
3,114.83,118.58,3.75,Battery_1,charge,3.0,16.8,3.35
4,116.34,121.04,4.7,Battery_1,charge,3.0,23.5,4.7
5,115.93,106.17,-9.76,Battery_1,charge,3.0,30.2,6.05
6,115.67,109.16,-6.51,Battery_1,charge,3.0,37.0,7.4
7,116.89,117.53,0.64,Battery_1,charge,3.0,43.8,8.75
8,117.16,115.58,-1.58,Battery_1,charge,3.0,50.5,10.1
9,124.92,124.84,-0.08,Battery_1,hold,0.0,50.5,10.1
10,127.63,123.36,-4.27,Battery_1,hold,0.0,50.5,10.1
11,134.69,139.09,4.4,Battery_1,hold,0.0,50.5,10.1
12,136.46,140.35,3.89,Battery_1,hold,0.0,50.5,10.1
13,144.82,145.15,0.33,Battery_1,hold,0.0,50.5,10.1
14,146.34,151.98,5.64,Battery_1,discharge,2.79,42.8,8.55
15,129.23,131.57,2.34,Battery_1,hold,0.0,42.8,8.55
16,132.35,128.05,-4.3,Battery_1,hold,0.0,42.8,8.55
17,129.17,131.01,1.84,Battery_1,hold,0.0,42.8,8.55
18,126.33,121.54,-4.79,Battery_1,charge,3.0,49.5,9.9
19,128.01,132.4,4.39,Battery_1,hold,0.0,49.5,9.9
20,126.81,126.56,-0.25,Battery_1,hold,0.0,49.5,9.9
21,122.56,121.64,-0.92,Battery_1,charge,3.0,56.2,11.25
22,117.34,113.94,-3.4,Battery_1,charge,3.0,63.0,12.6
23,116.69,122.8,6.11,Battery_1,charge,3.0,69.8,13.95
24,116.56,115.79,-0.77,Battery_1,charge,3.0,76.5,15.3
25,114.89,112.75,-2.14,Battery_1,charge,3.0,83.2,16.65
26,117.78,116.02,-1.76,Battery_1,charge,3.0,90.0,18.0
27,122.49,125.15,2.66,Battery_1,hold,0.0,90.0,18.0
28,135.23,137.06,1.83,Battery_1,hold,0.0,90.0,18.0
29,125.16,127.22,2.06,Battery_1,hold,0.0,90.0,18.0
30,128.73,130.88,2.15,Battery_1,hold,0.0,90.0,18.0
31,142.61,153.32,10.71,Battery_1,hold,0.0,90.0,18.0
32,140.52,138.49,-2.03,Battery_1,hold,0.0,90.0,18.0
33,138.87,136.31,-2.56,Battery_1,hold,0.0,90.0,18.0
34,137.58,133.51,-4.07,Battery_1,hold,0.0,90.0,18.0
35,162.14,165.22,3.08,Battery_1,discharge,3.0,81.7,16.33
36,180.55,186.19,5.64,Battery_1,discharge,3.0,73.3,14.67
37,209.8,209.23,-0.57,Battery_1,discharge,3.0,65.0,13.0
38,216.15,211.95,-4.2,Battery_1,discharge,3.0,56.7,11.33
39,214.28,210.16,-4.12,Battery_1,discharge,3.0,48.3,9.67
40,217.84,221.09,3.25,Battery_1,discharge,3.0,40.0,8.0
41,198.45,202.17,3.72,Battery_1,discharge,3.0,31.7,6.33
42,193.6,196.32,2.72,Battery_1,discharge,3.0,23.3,4.67
43,167.64,164.31,-3.33,Battery_1,discharge,1.8,18.3,3.67
44,164.14,165.3,1.16,Battery_1,discharge,3.0,10.0,2.0
45,159.12,159.7,0.58,Battery_1,hold,0.0,10.0,2.0
46,148.19,149.28,1.09,Battery_1,hold,0.0,10.0,2.0
47,156.16,160.52,4.36,Battery_1,hold,0.0,10.0,2.0
48,145.63,146.75,1.12,Battery_1,hold,0.0,10.0,2.0
1,140.91,142.43,1.52,Battery_2,hold,0.0,10.0,10.0
2,141.01,135.81,-5.2,Battery_2,hold,0.0,10.0,10.0
3,114.83,118.58,3.75,Battery_2,charge,5.0,12.2,12.25
4,116.34,121.04,4.7,Battery_2,charge,5.0,14.5,14.5
5,115.93,106.17,-9.76,Battery_2,charge,5.0,16.8,16.75
6,115.67,109.16,-6.51,Battery_2,charge,5.0,19.0,19.0
7,116.89,117.53,0.64,Battery_2,charge,5.0,21.2,21.25
8,117.16,115.58,-1.58,Battery_2,charge,5.0,23.5,23.5
9,124.92,124.84,-0.08,Battery_2,charge,4.07,25.3,25.33
10,127.63,123.36,-4.27,Battery_2,charge,5.0,27.6,27.58
11,134.69,139.09,4.4,Battery_2,hold,0.0,27.6,27.58
12,136.46,140.35,3.89,Battery_2,hold,0.0,27.6,27.58
13,144.82,145.15,0.33,Battery_2,hold,0.0,27.6,27.58
14,146.34,151.98,5.64,Battery_2,hold,0.0,27.6,27.58
15,129.23,131.57,2.34,Battery_2,hold,0.0,27.6,27.58
16,132.35,128.05,-4.3,Battery_2,hold,0.0,27.6,27.58
17,129.17,131.01,1.84,Battery_2,hold,0.0,27.6,27.58
18,126.33,121.54,-4.79,Battery_2,charge,5.0,29.8,29.83
19,128.01,132.4,4.39,Battery_2,hold,0.0,29.8,29.83
20,126.81,126.56,-0.25,Battery_2,hold,0.0,29.8,29.83
21,122.56,121.64,-0.92,Battery_2,charge,5.0,32.1,32.08
22,117.34,113.94,-3.4,Battery_2,charge,5.0,34.3,34.33
23,116.69,122.8,6.11,Battery_2,charge,5.0,36.6,36.58
24,116.56,115.79,-0.77,Battery_2,charge,5.0,38.8,38.83
25,114.89,112.75,-2.14,Battery_2,charge,5.0,41.1,41.08
26,117.78,116.02,-1.76,Battery_2,charge,5.0,43.3,43.33
27,122.49,125.15,2.66,Battery_2,hold,0.0,43.3,43.33
28,135.23,137.06,1.83,Battery_2,hold,0.0,43.3,43.33
29,125.16,127.22,2.06,Battery_2,hold,0.0,43.3,43.33
30,128.73,130.88,2.15,Battery_2,hold,0.0,43.3,43.33
31,142.61,153.32,10.71,Battery_2,hold,0.0,43.3,43.33
32,140.52,138.49,-2.03,Battery_2,hold,0.0,43.3,43.33
33,138.87,136.31,-2.56,Battery_2,hold,0.0,43.3,43.33
34,137.58,133.51,-4.07,Battery_2,hold,0.0,43.3,43.33
35,162.14,165.22,3.08,Battery_2,discharge,5.0,40.6,40.56
36,180.55,186.19,5.64,Battery_2,discharge,5.0,37.8,37.78
37,209.8,209.23,-0.57,Battery_2,discharge,5.0,35.0,35.0
38,216.15,211.95,-4.2,Battery_2,discharge,5.0,32.2,32.22
39,214.28,210.16,-4.12,Battery_2,discharge,5.0,29.4,29.44
40,217.84,221.09,3.25,Battery_2,discharge,5.0,26.7,26.67
41,198.45,202.17,3.72,Battery_2,discharge,5.0,23.9,23.89
42,193.6,196.32,2.72,Battery_2,discharge,5.0,21.1,21.11
43,167.64,164.31,-3.33,Battery_2,discharge,5.0,18.3,18.33
44,164.14,165.3,1.16,Battery_2,discharge,5.0,15.6,15.56
45,159.12,159.7,0.58,Battery_2,discharge,5.0,12.8,12.78
46,148.19,149.28,1.09,Battery_2,hold,0.0,12.8,12.78
47,156.16,160.52,4.36,Battery_2,discharge,5.0,10.0,10.0
48,145.63,146.75,1.12,Battery_2,hold,0.0,10.0,10.0
1,140.91,142.43,1.52,Battery_3,hold,0.0,10.0,20.0
2,141.01,135.81,-5.2,Battery_3,hold,0.0,10.0,20.0
3,114.83,118.58,3.75,Battery_3,charge,10.0,12.2,24.5
4,116.34,121.04,4.7,Battery_3,charge,10.0,14.5,29.0
